TeamName,Year,Wins,Losses,OTLosses,WinPrecent,GoalsFor,GoalsAgainst,PlusMinus
Buffalo Sabres,1990,31,30,,0.388,292,278,14
Buffalo Sabres,1991,31,37,,0.388,289,299,-10
Buffalo Sabres,1992,38,36,,0.452,335,297,38
Buffalo Sabres,1993,43,32,,0.512,282,218,64
Buffalo Sabres,1994,22,19,,0.458,130,119,11
Buffalo Sabres,1995,33,42,,0.402,247,262,-15
Buffalo Sabres,1996,40,30,,0.488,237,208,29
Buffalo Sabres,1997,36,29,,0.439,211,187,24
Buffalo Sabres,1998,37,28,,0.451,207,175,32
Buffalo Sabres,1999,35,32,4,0.427,213,204,9
Buffalo Sabres,2000,46,30,1,0.561,218,184,34
Buffalo Sabres,2001,35,35,1,0.427,213,200,13
Buffalo Sabres,2002,27,37,8,0.329,190,219,-29
Buffalo Sabres,2003,37,34,4,0.451,220,221,-1
Buffalo Sabres,2005,52,24,6,0.634,281,239,42
Buffalo Sabres,2006,53,22,7,0.646,308,242,66
Buffalo Sabres,2007,39,31,12,0.476,255,242,13
Buffalo Sabres,2008,41,32,9,0.5,250,234,16
Buffalo Sabres,2009,45,27,10,0.549,235,207,28
Buffalo Sabres,2010,43,29,10,0.524,245,229,16
Buffalo Sabres,2011,39,32,11,0.476,218,230,-12
